经销商报价,纯电续航里程(km),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),磷酸铁锂,三元锂,其它,电池容量(kWh)
36.99,492,0.45,3.9,80,200,3.65,17.9,4730,1886,1613,2984,1593.613095,1594.388393,5,5,1954,359,488,860,0,1,0,80.3
43.97,653,0.67,15.5,80,190,6.35,15.6,5003,1977,1637,3094,1676,1677,5,5,2535,255,347,440,0,1,0,95.7
45.97,653,0.67,15.5,80,190,6.35,15.6,5003,1977,1637,3094,1676,1677,5,5,2535,255,347,440,0,1,0,95.7
47.97,600,0.67,15.5,80,210,4.9,16.9,5003,1977,1637,3094,1676,1677,5,5,2631,375,510,710,0,1,0,95.7
12.98,401,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,0,0,0,54.34
13.68,401,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1675,120,163,210,0,0,0,54.34
12.38,400,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,0,1,0,54.34
14.78,501,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,0,0,0,70.41
12.38,400,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,1,0,0,55.8
12.78,400,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,0,1,0,54.34
15.98,610,0.5,10.5,80,155,7,14.5,4549,1860,1628,2770,1580,1580,5,5,1779,170,231,310,0,0,0,81.57
12.78,400,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,1,0,0,55.8
14.48,500,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,0,1,0,66.23
14.48,500,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,1,0,0,68.2
15.58,500,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,0,1,0,66.23
15.58,500,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,1,0,0,68.2
15.98,610,0.5,10.5,80,155,7,14.5,4549,1860,1628,2770,1580,1580,5,5,1779,150,204,310,0,1,0,81.57
