数据编号,型号,经销商报价,纯电续航里程(km),充电时间(小时),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),电池类型,磷酸铁锂,三元锂,其它,电池容量(kWh)
205,红旗E-HS9 2022款 改款 460km 旗享版 六座,53.98,460,快充0.8小时 慢充8.4小时,0.8,8.4,80,200,6.5,18.1,5209,2010,1731,3110,1708,1709,5,6,2515,320,435,600,三元锂电池,0,1,0,84
206,红旗E-HS9 2022款 改款 690km 旗悦版 七座,58.98,690,快充1.1小时,1.1,,80,200,,18,5209,2010,1731,3110,1708,1709,5,7,2644,320,435,600,三元锂电池,0,1,0,120
207,红旗E-HS9 2022款 改款 690km 旗享版 六座,61.98,690,快充1.1小时,1.1,,80,200,,18,5209,2010,1731,3110,1708,1709,5,6,2702,320,435,600,三元锂电池,0,1,0,120
208,红旗E-HS9 2022款 改款 510km 旗畅版 六座,63.98,510,快充0.8小时 慢充9.5小时,0.8,9.5,80,200,4.8,19.3,5209,2010,1713,3110,1708,1709,5,6,2610,405,551,750,三元锂电池,0,1,0,99
209,红旗E-HS9 2022款 改款 660km 旗畅版 六座,68.98,660,快充1.1小时,1.1,,80,200,,19,5209,2010,1713,3110,1708,1709,5,6,2654,405,551,750,三元锂电池,0,1,0,120
210,红旗E-HS9 2022款 改款 510km 旗领版 四座,72.98,510,快充0.8小时 慢充9.5小时,0.8,9.5,80,200,4.8,19.3,5209,2010,1713,3110,1708,1709,5,4,2640,405,551,750,三元锂电池,0,1,0,99
211,红旗E-HS9 2022款 改款 660km 旗领版 四座,77.98,660,快充1.1小时,1.1,,80,200,,19,5209,2010,1713,3110,1708,1709,5,4,2712,405,551,750,三元锂电池,0,1,0,120
212,Model X 2021款 双电机全轮驱动,93.99,560,快充1小时 慢充10小时,1,10,,250,3.9,,5037,2070,1684,2965,1661,1699,5,5,2352,493,670,,三元锂电池,0,1,0,100
213,Model X 2021款 Plaid版 三电机全轮驱动,99.99,536,快充1小时 慢充10小时,1,10,,262,2.6,,5037,2070,1684,2965,1661,1699,5,6,2455,750,1020,,三元锂电池,0,1,0,100
214,比亚迪D1 2022款 标准版,15.78,418,快充0.58小时,0.58,,80,130,,12.8,4390,1850,1650,2800,1590,1590,5,5,1640,100,136,180,磷酸铁锂电池,1,0,0,53.6
215,比亚迪D1 2021款 领创版,16.78,418,快充0.58小时,0.58,,80,130,,12.8,4390,1850,1650,2800,1590,1590,5,5,1640,100,136,180,磷酸铁锂电池,1,0,0,53.6
216,小鹏G9 2022款 570 Plus,30.99,570,快充0.27小时,0.27,,80,200,6.4,15.2,4891,1937,1680,2998,1656,1663,5,5,2190,230,313,430,磷酸铁锂电池,1,0,0,78.2
217,小鹏G9 2022款 570 Pro,32.99,570,快充0.27小时,0.27,,80,200,6.4,15.2,4891,1937,1680,2998,1656,1663,5,5,2230,230,313,430,磷酸铁锂电池,1,0,0,78.2
218,小鹏G9 2022款 570 Max,34.99,570,快充0.27小时,0.27,,80,200,6.4,15.2,4891,1937,1680,2998,1656,1663,5,5,2230,230,313,430,磷酸铁锂电池,1,0,0,78.2
219,小鹏G9 2022款 702 Pro,34.99,702,快充0.27小时,0.27,,80,200,6.4,15.2,4891,1937,1680,2998,1656,1663,5,5,2205,230,313,430,三元锂电池,0,1,0,98
220,小鹏G9 2022款 702 Max,36.99,702,快充0.27小时,0.27,,80,200,6.4,15.2,4891,1937,1680,2998,1656,1663,5,5,2225,230,313,430,三元锂电池,0,1,0,98
221,小鹏G9 2022款 650性能版 Pro,39.99,650,快充0.27小时,0.27,,80,200,3.9,16,4891,1937,1670,2998,1656,1663,5,5,2335,405,551,717,三元锂电池,0,1,0,98
222,小鹏G9 2022款 650性能版 Max,41.99,650,快充0.27小时,0.27,,80,200,3.9,16,4891,1937,1670,2998,1656,1663,5,5,2355,405,551,717,三元锂电池,0,1,0,98
223,小鹏G9 2022款 650上市纪念版,46.99,650,快充0.27小时,0.27,,80,200,3.9,16,4891,1937,1670,2998,1656,1663,5,5,2355,405,551,717,三元锂电池,0,1,0,98
224,唐EV 2022款 600KM 尊享型,27.98,600,快充0.5小时 慢充13.68小时,0.5,13.68,80,180,,15.7,4900,1950,1725,2820,1650,1630,5,7,2360,168,228,350,磷酸铁锂电池,1,0,0,90.3
225,唐EV 2022款 730KM 尊享型,30.98,730,快充0.5小时 慢充16.5小时,0.5,16.5,80,180,,15.6,4900,1950,1725,2820,1650,1630,5,7,2440,180,245,350,磷酸铁锂电池,1,0,0,108.8
226,唐EV 2022款 635KM 四驱旗舰型,33.98,635,快充0.5小时 慢充16.5小时,0.5,16.5,80,180,4.4,17.6,4900,1950,1725,2820,1650,1630,5,7,2560,380,517,700,磷酸铁锂电池,1,0,0,108.8
227,MG MULAN 2022款 425km时尚版,12.98,425,快充0.47小时 慢充7小时,0.47,7,80,160,,13.3,4287,1836,1516,2705,1552,1562,5,5,1641,125,170,250,磷酸铁锂电池,1,0,0,51
228,MG MULAN 2022款 425km豪华版,13.98,425,快充0.47小时 慢充7小时,0.47,7,80,160,,13.3,4287,1836,1516,2705,1552,1562,5,5,1641,125,170,250,磷酸铁锂电池,1,0,0,51
229,MG MULAN 2022款 520km旗舰版,16.38,520,快充0.38小时 慢充9小时,0.38,9,80,160,,13.3,4287,1836,1516,2705,1552,1562,5,5,1665,150,204,250,三元锂电池,0,1,0,64
230,MG MULAN 2022款 460km四驱凯旋版,18.68,460,快充0.38小时 慢充9小时,0.38,9,80,200,3.8,,4287,1836,1516,2705,1553,1562,5,5,1825,315,428,600,三元锂电池,0,1,0,64
231,奥迪Q4 e-tron 2022款 40 e-tron 创行版,29.99,605,快充0.68小时 慢充12小时,0.68,12,80,160,8.8,14.4,4588,1865,1626,2765,1587,1565,5,5,2160,150,204,310,三元锂电池,0,1,0,84.8
232,奥迪Q4 e-tron 2022款 40 e-tron 创境版,32.71,605,快充0.68小时 慢充12小时,0.68,12,80,160,8.8,14.4,4588,1865,1626,2765,1587,1565,5,5,2160,150,204,310,三元锂电池,0,1,0,84.8
233,奥迪Q4 e-tron 2022款 50 e-tron quattro 创境版,34.27,543,快充0.68小时 慢充12小时,0.68,12,80,160,6.8,16.1,4588,1865,1626,2765,1587,1566,5,5,2255,230,313,472,三元锂电池,0,1,0,84.8
234,奥迪Q4 e-tron 2022款 50 e-tron quattro 创享版,37.71,543,快充0.68小时 慢充12小时,0.68,12,80,160,6.8,16.1,4588,1865,1626,2765,1587,1566,5,5,2255,230,313,472,三元锂电池,0,1,0,84.8
235,小鹏P5 2022款 460E,19.59,460,快充0.5小时 慢充9小时,0.5,9,80,170,7.5,13.4,4808,1840,1520,2768,1556,1561,4,5,1735,155,211,310,磷酸铁锂电池,1,0,0,55.9
236,小鹏P5 2022款 460E+,19.79,450,快充0.5小时 慢充9小时,0.5,9,80,170,7.5,13.6,4808,1840,1520,2768,1556,1561,4,5,1735,155,211,310,磷酸铁锂电池,1,0,0,57.4
237,小鹏P5 2022款 510E,20.69,510,快充0.58小时 慢充10.5小时,0.58,10.5,80,170,7.5,13.3,4808,1840,1520,2768,1556,1561,4,5,1725,155,211,310,三元锂电池,0,1,0,61.3
238,小鹏P5 2022款 460P,20.99,460,快充0.5小时,0.5,,80,170,7.5,13.6,4808,1840,1520,2768,1556,1561,4,5,1735,155,211,310,磷酸铁锂电池,1,0,0,57.4
239,小鹏P5 2022款 550E,21.19,550,快充0.58小时 慢充11小时,0.58,11,80,170,7.5,13.3,4808,1840,1520,2768,1556,1561,4,5,1725,155,211,310,三元锂电池,0,1,0,66.2
240,小鹏P5 2022款 550P,22.59,550,快充0.58小时 慢充11小时,0.58,11,80,170,7.5,13.3,4808,1840,1520,2768,1556,1561,4,5,1725,155,211,310,三元锂电池,0,1,0,66.2
241,小鹏P5 2022款 600P,24.99,600,快充0.63小时 慢充11.5小时,0.63,11.5,80,170,7.5,13.2,4808,1840,1520,2768,1556,1561,4,5,1725,155,211,310,三元锂电池,0,1,0,71.4
242,小鹏P5 2021款 460G,17.79,460,快充0.5小时,0.5,,80,170,7.5,13.4,4808,1840,1520,2768,1556,1561,4,5,1680,155,211,310,磷酸铁锂电池,1,0,0,55.9
243,小鹏P5 2021款 460G+,17.99,450,快充0.5小时,0.5,,80,170,7.5,13.6,4808,1840,1520,2768,1556,1561,4,5,1680,155,211,310,磷酸铁锂电池,1,0,0,57.4
244,小鹏P5 2021款 510G,18.89,510,快充0.58小时,0.58,,80,170,7.5,13.3,4808,1840,1520,2768,1556,1561,4,5,1715,155,211,310,三元锂电池,0,1,0,61.3
245,小鹏P5 2021款 550G,19.39,550,快充0.58小时,0.58,,80,170,7.5,13.3,4808,1840,1520,2768,1556,1561,4,5,1715,155,211,310,三元锂电池,0,1,0,66.2
246,ID.4 X 2022款 纯净智享版,17.92,425,快充0.67小时 慢充8.5小时,0.67,8.5,80,160,,14,4612,1852,1640,2765,,,5,5,1960,125,170,310,三元锂电池,0,1,0,57.3
247,ID.4 X 2022款 纯净长续航版,22.52,607,快充0.67小时 慢充12.5小时,0.67,12.5,80,160,,14.6,4612,1852,1640,2765,,,5,5,2120,150,204,310,三元锂电池,0,1,0,83.4
248,ID.4 X 2022款 智享长续航版,23.87,607,快充0.67小时 慢充12.5小时,0.67,12.5,80,160,,14.6,4612,1852,1640,2765,,,5,5,2120,150,204,310,三元锂电池,0,1,0,83.4
249,ID.4 X 2022款 极智长续航版,24.12,607,快充0.67小时 慢充12.5小时,0.67,12.5,80,160,,14.6,4612,1852,1640,2765,,,5,5,2120,150,204,310,三元锂电池,0,1,0,83.4
250,ID.4 X 2022款 劲能四驱版,27.62,555,快充0.67小时 慢充12.5小时,0.67,12.5,80,160,,15.9,4612,1852,1640,2765,,,5,5,2250,230,313,472,三元锂电池,0,1,0,83.4
251,蔚来ET7 2021款 75kWh,44.67,530,,,,80,200,3.8,16.2,5101,1987,1509,3060,1668,1672,4,5,2349,480,653,850,磷酸铁锂电池+三元锂电池,0,0,0,75
252,蔚来ET7 2021款 100kWh,50.34,675,,,,80,200,3.8,16,5101,1987,1509,3060,1668,1672,4,5,2379,480,653,850,三元锂电池,0,1,0,100
253,蔚来ET7 2021款 100kWh 首发版,52.34,675,,,,80,200,3.8,16,5101,1987,1509,3060,1668,1672,4,5,2379,480,653,850,三元锂电池,0,1,0,100
254,零跑C01 2022款 后驱长续航版,20.98,606,快充0.67小时 慢充7小时,0.67,7,80,180,7.5,14.5,5050,1902,1509,2930,1608,1604,4,5,2099,200,272,360,磷酸铁锂电池,1,0,0,78.54
255,零跑C01 2022款 后驱超长续航版,23.18,717,快充0.67小时 慢充8小时,0.67,8,80,180,7.2,14,5050,1902,1509,2930,1608,1604,4,5,2020,200,272,360,三元锂电池,0,1,0,90
256,零跑C01 2022款 四驱双电机性能版,25.18,630,快充0.67小时 慢充8小时,0.67,8,80,180,4.3,16.5,5050,1902,1509,2930,1608,1604,4,5,2145,400,544,720,三元锂电池,0,1,0,90
257,零跑C01 2022款 四驱双电机高性能版,28.68,630,快充0.67小时 慢充8小时,0.67,8,80,180,3.66,16.5,5050,1902,1515,2930,1608,1604,4,5,2145,400,544,720,三元锂电池,0,1,0,90
258,极狐 阿尔法S 2022款 525S 160kW,22.37,525,快充0.5小时 慢充11.5小时,0.5,11.5,80,180,7.7,14.8,4930,1940,1599,2915,1660,1640,5,5,1940,160,218,360,三元锂电池,0,1,0,67.3
259,极狐 阿尔法S 2022款 525S 175kW,22.37,525,快充0.5小时 慢充11.5小时,0.5,11.5,80,180,7.7,14.8,4930,1940,1599,2915,1660,1640,5,5,1900,175,238,360,三元锂电池,0,1,0,66
260,极狐 阿尔法S 2022款 525S+ 175KW,25.37,525,快充0.5小时 慢充11.5小时,0.5,11.5,80,180,7.7,14.8,4930,1940,1599,2915,1660,1640,5,5,1900,175,238,360,三元锂电池,0,1,0,66
261,极狐 阿尔法S 2022款 708S 160kW,26.72,708,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,8.3,15.4,4930,1940,1599,2915,1660,1640,5,5,2078,160,218,360,三元锂电池,0,1,0,93.6
262,极狐 阿尔法S 2022款 708S 175kW,26.72,708,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,8.3,15.4,4930,1940,1599,2915,1660,1640,5,5,2078,175,238,360,三元锂电池,0,1,0,94.5
263,极狐 阿尔法S 2022款 HI版 进阶版,39.78,500,快充0.25小时 慢充13小时,0.25,13,80,200,3.5,16.6,4980,1960,1599,2915,,,5,5,2115,473,643,655,三元锂电池,0,1,0,74.5
264,极狐 阿尔法S 2022款 HI版 高阶版,42.98,500,快充0.25小时 慢充13小时,0.25,13,80,200,3.5,16.6,4980,1960,1599,2915,,,5,5,2115,473,643,655,三元锂电池,0,1,0,74.5
265,极狐 阿尔法S 2021款 525S 160kW,24.72,525,快充0.5小时 慢充11.5小时,0.5,11.5,80,180,7.7,14.8,4930,1940,1599,2915,1660,1640,5,5,1940,160,218,360,三元锂电池,0,1,0,67.3
266,极狐 阿尔法S 2021款 525S 175kW,24.72,525,快充0.5小时 慢充11.5小时,0.5,11.5,80,180,7.7,14.8,4930,1940,1599,2915,1660,1640,5,5,1900,175,238,360,三元锂电池,0,1,0,66
267,极狐 阿尔法S 2021款 708S+ 160kW,28.72,708,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,8.3,15.4,4930,1940,1599,2915,1660,1640,5,5,2078,160,218,360,三元锂电池,0,1,0,93.6
268,极狐 阿尔法S 2021款 708S+ 175kW,28.72,708,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,8.3,15.4,4930,1940,1599,2915,1660,1640,5,5,2078,175,238,360,三元锂电池,0,1,0,94.5
269,极狐 阿尔法S 2021款 603H,35.02,603,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,4.2,17.1,4930,1940,1599,2915,1660,1640,5,5,2245,320,435,720,三元锂电池,0,1,0,93.6
270,智己L7 2022款 Dynamic版,36.88,615,慢充13.3小时 慢充13.3小时,,13.3,80,200,3.87,15.4,5098,1960,1485,3100,1664,1660,4,5,2290,425,578,725,三元锂电池,0,1,0,93
271,智己L7 2022款 Pro版,40.88,615,快充0.33小时 慢充5.8小时,0.33,5.8,80,200,3.87,15.4,5098,1960,1485,3100,1664,1660,4,5,2290,425,578,725,三元锂电池,0,1,0,93
272,Eletre 2022款 Eletre S+,82.8,650,快充0.33小时 慢充5.8小时,0.33,5.8,80,258,4.5,21.53,5103,2019,1636,3019,,,5,5,,450,612,710,三元锂电池,0,1,0,112
273,Eletre 2022款 Eletre R+,102.8,560,快充0.5小时 慢充7.5小时,0.5,7.5,80,265,2.95,25,5103,2019,1636,3019,,,5,5,,675,918,985,三元锂电池,0,1,0,112
274,smart精灵#1 2022款 Pure+,19.42,535,快充0.5小时 慢充7.5小时,0.5,7.5,80,180,6.7,13.4,4270,1822,1636,2750,1581,1586,5,5,1770,200,272,343,三元锂电池,0,1,0,66
275,smart精灵#1 2022款 Pro+,20.92,535,快充0.5小时 慢充7.5小时,0.5,7.5,80,180,6.7,13.4,4270,1822,1636,2750,1581,1586,5,5,1770,200,272,343,三元锂电池,0,1,0,66
276,smart精灵#1 2022款 Premium,24.5,560,快充0.5小时 慢充7.2小时,0.5,7.2,80,180,6.7,13,4270,1822,1636,2750,1585,1590,5,5,1800,200,272,343,三元锂电池,0,1,0,66
277,smart精灵#1 2022款 BRABUS性能版,27.9,500,快充0.5小时 慢充13.09小时,0.5,13.09,80,180,3.9,14.8,4300,1822,1636,2750,1585,1590,5,5,1900,315,428,584,三元锂电池,0,1,0,66
278,比亚迪e2 2021款 舒适型,10.08,401,快充0.5小时 慢充13.09小时,0.5,13.09,80,130,,11.4,4240,1760,1530,2610,1490,1470,5,5,1365,70,95,180,磷酸铁锂电池,1,0,0,43.2
279,比亚迪e2 2021款 豪华型,10.78,401,快充0.5小时 慢充13.09小时,0.5,13.09,80,130,,11.4,4240,1760,1530,2610,1490,1470,5,5,1365,70,95,180,磷酸铁锂电池,1,0,0,43.2
280,比亚迪e2 2021款 尊贵型,11.68,401,慢充13.09小时 慢充13.1小时,,13.1,80,130,,11.4,4240,1760,1530,2610,1490,1470,5,5,1365,70,95,180,磷酸铁锂电池,1,0,0,43.2
281,比亚迪e2 2021款 出行版,13.98,401,快充待查小时 慢充待查小时,,,80,130,,11.4,4240,1760,1530,2610,1490,1470,5,5,1365,100,136,180,磷酸铁锂电池,1,0,0,43.2
282,比亚迪e2 2021款 领畅版,14.48,401,快充待查小时 慢充待查小时,,,80,130,,11.4,4240,1760,1530,2610,1490,1470,5,5,1365,100,136,180,磷酸铁锂电池,1,0,0,43.2
283,AION LX 2022款 PLUS 80 智尊版,28.66,650,快充待查小时 慢充待查小时,,,,170,7.8,15.5,4835,1935,1685,2920,1650,1660,5,5,2070,180,245,350,三元锂电池,0,1,0,93.3
284,AION LX 2022款 PLUS 80D 旗舰版,33.96,600,快充待查小时 慢充待查小时,,,,180,3.9,16,4835,1935,1685,2920,1650,1660,5,5,2240,360,490,700,三元锂电池,0,1,0,93.3
285,AION LX 2022款 PLUS 80D Max版,41.96,600,快充0.5小时 慢充8.5小时,0.5,8.5,,180,3.9,16,4835,1935,1685,2920,1650,1660,5,5,2240,360,490,700,三元锂电池,0,1,0,93.3
286,AION LX 2022款 PLUS 千里版,46.96,1008,快充0.5小时 慢充8.5小时,0.5,8.5,,170,7.9,15.8,4835,1935,1685,2920,1650,1660,5,5,2240,180,245,350,三元锂电池,0,1,0,144.4
287,几何A 2022款 Pro 430KM 青苹果Pro,13.68,430,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13.3,4752,1804,1503,2700,1560,1560,4,5,1560,150,204,310,三元锂电池,0,1,0,53
288,几何A 2022款 Pro 430KM 青苹果Plus,14.28,430,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13.3,4752,1804,1503,2700,1560,1560,4,5,1560,150,204,310,三元锂电池,0,1,0,53
289,几何A 2022款 Pro 430KM 青苹果Halo,15.28,430,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13.3,4752,1804,1503,2700,1560,1560,4,5,1560,150,204,310,三元锂电池,0,1,0,53
290,几何A 2022款 Pro A430出行版,17.68,430,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13.3,4752,1804,1503,2700,1560,1560,4,5,1560,150,204,310,三元锂电池,0,1,0,53
291,几何A 2022款 Pro 430KM 公务版,18.08,430,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13.3,4752,1804,1503,2700,1560,1560,4,5,1560,150,204,310,三元锂电池,0,1,0,53
292,几何A 2022款 Pro 600KM 红苹果Plus,15.98,600,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13,4752,1804,1503,2700,1560,1560,4,5,1635,150,204,310,三元锂电池,0,1,0,70
293,几何A 2022款 Pro 600KM 红苹果Halo,17.28,600,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13,4752,1804,1503,2700,1560,1560,4,5,1635,150,204,310,三元锂电池,0,1,0,70
294,几何A 2022款 Pro 600KM 公务版,20.48,600,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13,4752,1804,1503,2700,1560,1560,4,5,1635,150,204,310,三元锂电池,0,1,0,70
295,几何A 2021款 Pro 畅享高维续航版 430KM A430平方版,12.38,430,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13.3,4752,1804,1503,2700,1560,1560,4,5,1560,150,204,310,三元锂电池,0,1,0,53
296,几何A 2021款 Pro 畅享高维续航版 430KM A430立方版,13.38,430,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13.3,4752,1804,1503,2700,1560,1560,4,5,1560,150,204,310,三元锂电池,0,1,0,53
297,几何A 2021款 Pro 畅享高维续航版 430KM A430畅行版,18.38,430,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13.3,4752,1804,1503,2700,1560,1560,4,5,1560,150,204,310,三元锂电池,0,1,0,53
298,几何A 2021款 Pro 臻享高能续航版 600KM A600亚运版,15.38,600,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13,4752,1804,1503,2700,1560,1560,4,5,1635,150,204,310,三元锂电池,0,1,0,70
299,几何A 2021款 Pro 臻享高能续航版 600KM A600立方版,15.38,600,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13,4752,1804,1503,2700,1560,1560,4,5,1635,150,204,310,三元锂电池,0,1,0,70
300,几何A 2021款 Pro 臻享高能续航版 600KM A600幂方版,16.98,600,快充0.5小时 慢充9.5小时,0.5,9.5,80,150,6.9,13,4752,1804,1503,2700,1560,1560,4,5,1635,150,204,310,三元锂电池,0,1,0,70
301,几何A 2021款 Pro 臻享高能续航版 600KM A600畅优版,19.68,600,快充0.5小时 慢充9.5小时,0.5,9.5,80,150,6.9,13,4752,1804,1503,2700,1560,1560,4,5,1635,150,204,310,三元锂电池,0,1,0,70
302,微蓝6 2022款 互联时尚型 PLUS,12.53,518,快充0.5小时 慢充9.5小时,0.5,9.5,80,170,,12.6,4673,1817,1514,2660,1535,1546,5,5,1660,130,177,265,三元锂电池,0,1,0,61.1
303,微蓝6 2022款 互联智享型 PLUS,13.23,518,快充0.5小时 慢充9.5小时,0.5,9.5,80,170,,12.6,4673,1817,1514,2660,1535,1546,5,5,1660,130,177,265,三元锂电池,0,1,0,61.1
304,微蓝6 2022款 互联畅享型 PLUS,15.39,518,快充0.5小时 慢充9.5小时,0.5,9.5,80,170,,12.6,4650,1817,1514,2660,1535,1546,5,5,1620,130,177,265,三元锂电池,0,1,0,61.1
305,微蓝6 2022款 互联智慧型 PLUS,14.43,518,快充0.25小时 慢充10.5小时,0.25,10.5,80,170,,12.6,4673,1817,1514,2660,1535,1546,5,5,1660,130,177,265,三元锂电池,0,1,0,61.1
306,微蓝6 2022款 互联共享型 PLUS,14.43,518,快充0.25小时 慢充10.5小时,0.25,10.5,80,170,,12.6,4650,1817,1514,2660,1535,1546,5,5,1620,130,177,265,三元锂电池,0,1,0,61.1
307,阿维塔 11 2022款 长续航双电机版,34.99,555,快充0.42小时 慢充13.5小时,0.42,13.5,80,200,3.98,18.03,4880,1970,1601,2975,1678,1678,5,5,2280,425,578,650,三元锂电池,0,1,0,90
308,阿维塔 11 2022款 长续航双电机版奢享版,36.99,555,快充0.42小时 慢充13.5小时,0.42,13.5,80,200,3.98,18.03,4880,1970,1601,2975,1678,1678,5,5,2280,425,578,650,三元锂电池,0,1,0,90
309,阿维塔 11 2022款 超长续航双电机版奢享版,40.99,680,,,,80,200,4.5,19.03,4880,1970,1601,2975,1678,1678,5,5,2365,425,578,650,三元锂电池,0,1,0,116
310,阿维塔 11 2022款 011 MMW联名限量款,60,680,,,,80,200,4.5,19.03,4880,1970,1601,2975,1678,1678,5,4,2425,425,578,650,三元锂电池,0,1,0,116
311,高合HiPhi Z 2023款 五座版,61,705,快充0.5小时 慢充7.2小时,0.5,7.2,,200,3.8,17.7,5036,2018,1439,3150,1710,1710,4,5,2539,494,672,820,三元锂电池,0,1,0,120
312,高合HiPhi Z 2023款 四座版,63,705,快充0.5小时 慢充10小时,0.5,10,,200,3.8,17.7,5036,2018,1439,3150,1710,1710,4,4,2539,494,672,820,三元锂电池,0,1,0,120
313,元Pro 2021款 401KM 豪华型,10.28,401,快充0.6小时 慢充11.5小时,0.6,11.5,80,,,12.9,4375,1785,1680,2535,1525,1535,5,5,1605,100,136,210,磷酸铁锂电池,1,0,0,50.1
314,元Pro 2021款 401KM 尊贵型,11.28,401,快充0.6小时 慢充11.5小时,0.6,11.5,80,,,12.9,4375,1785,1680,2535,1525,1535,5,5,1605,100,136,210,磷酸铁锂电池,1,0,0,50.1
315,蔚来ES6 2022款 455KM 运动版,37.47,455,快充0.8小时 慢充14小时,0.8,14,80,200,5.6,17.3,4850,1965,1758,2900,1668,1672,5,5,2290,320,435,610,磷酸铁锂电池+三元锂电池,0,0,0,75
316,蔚来ES6 2022款 465KM 性能版,41.47,465,快充0.8小时 慢充14小时,0.8,14,80,200,4.7,17.2,4850,1965,1731,2900,1668,1672,5,5,2345,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
317,蔚来ES6 2022款 600KM 运动版,43.14,600,快充0.6小时 慢充11.5小时,0.6,11.5,80,200,5.6,17.4,4850,1965,1758,2900,1668,1672,5,5,2290,320,435,610,三元锂电池,0,1,0,100
318,蔚来ES6 2022款 610KM 性能版,47.14,610,快充0.8小时 慢充14小时,0.8,14,80,200,4.7,17.4,4850,1965,1731,2900,1668,1672,5,5,2345,400,544,725,三元锂电池,0,1,0,100
319,蔚来ES6 2022款 465KM 签名版,48.47,465,快充0.5小时 慢充8.5小时,0.5,8.5,80,200,4.7,17.2,4850,1965,1731,2900,1668,1672,5,5,2345,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
320,蔚来ES6 2022款 610KM 签名版,54.14,610,快充0.5小时 慢充8.5小时,0.5,8.5,80,200,4.7,17.4,4850,1965,1731,2900,1668,1672,5,5,2345,400,544,725,三元锂电池,0,1,0,100
321,几何C 2022款 蓝莓C400,13.27,400,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13.9,4432,1833,1560,2700,1561,1560,5,5,1545,150,204,310,三元锂电池,0,1,0,53
322,几何C 2022款 400KM 蓝莓Pro,13.67,400,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13.9,4432,1833,1560,2700,1561,1560,5,5,1545,150,204,310,三元锂电池,0,1,0,53
323,几何C 2022款 400KM 蓝莓Plus,14.27,400,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13.9,4432,1833,1560,2700,1561,1560,5,5,1545,150,204,310,三元锂电池,0,1,0,53
324,几何C 2022款 400KM 出行版,17.68,400,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13.9,4432,1833,1560,2700,1561,1560,5,5,1545,150,204,310,三元锂电池,0,1,0,53
325,几何C 2022款 葡萄C550,15.27,550,快充0.63小时 慢充11小时,0.63,11,80,150,7,14,4432,1833,1560,2700,1561,1560,5,5,1665,150,204,310,三元锂电池,0,1,0,70
326,几何C 2022款 西柚C550,16.97,550,快充0.63小时 慢充11小时,0.63,11,80,150,7,14,4432,1833,1560,2700,1561,1560,5,5,1665,150,204,310,三元锂电池,0,1,0,70
327,几何C 2022款 550KM 西柚Pro,15.67,550,快充0.63小时 慢充11小时,0.63,11,80,150,7,14,4432,1833,1560,2700,1561,1560,5,5,1665,150,204,310,三元锂电池,0,1,0,70
328,几何C 2022款 550KM 西柚Plus,15.97,550,快充0.63小时 慢充11小时,0.63,11,80,150,7,14,4432,1833,1560,2700,1561,1560,5,5,1665,150,204,310,三元锂电池,0,1,0,70
329,几何C 2022款 550KM 西柚Halo,17.27,550,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,7,14,4432,1833,1560,2700,1561,1560,5,5,1665,150,204,310,三元锂电池,0,1,0,70
330,几何C 2022款 550KM 公务版,20.48,550,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,7,14,4432,1833,1560,2700,1561,1560,5,5,1665,150,204,310,三元锂电池,0,1,0,70
331,几何C 2021款 优选续航版 400KM C400 平方版,12.08,400,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,6.9,13.9,4432,1833,1560,2700,1561,1560,5,5,1545,150,204,310,三元锂电池,0,1,0,53
332,几何C 2021款 优选续航版 400KM C400 立方版,13.08,400,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13.9,4432,1833,1560,2700,1561,1560,5,5,1545,150,204,310,三元锂电池,0,1,0,53
